title	url_id	area	width	price	direction	number_of_bedrooms	number_of_toilets	furniture	legal	lat	lon	address	district	province
CHÍNH CHỦ_BÁN CHUNG CƯ A1 HOÀNG CẦU_YÊN LÃNG_ĐỐNG ĐA_TÁCH SỔ HỒNG	113311957			900 triệu		2 phòng			1	21.0163	105.8221	Phố Hoàng Cầu, Phường Ô Chợ Dừa, Quận Đống Đa, Hà Nội	Đống Đa	Hà Nội
BÁN GẤP_CHUNG CƯ CT1 THÁI HÀ_Ô CHỢ DỪA_ĐỐNG ĐA_CÓ SỔ ĐỎ	113411374			950 triệu		2 phòng			1	21.0069	105.8292	Cầu vượt Chùa Bộc -  Phạm Ngọc Thạch, Phường Quang Trung, Quận Đống Đa, Hà Nội	Đống Đa	Hà Nội
Cần bán căn 2PN1VS, 60m2, FULL NỘI THẤT chỉ 2.75 tỷ tại Vinhomes OCP	114133460			2,75 tỷ		2 phòng			Sổ hồng riêng	21.0209	105.9381	Yên Viên, Thị trấn Trâu Quỳ, Huyện Gia Lâm, Hà Nội	Gia Lâm	Hà Nội
Hiếm! Ngay Thạch Bàn, nhà mới đẹp 35m x5tg. Oto đỗ cổng. Giá cực yêu	114389207	35 m²		5,1 tỷ		3 phòng	4 phòng		Đã có sổ	21.0216	105.9085	Cổ Linh, Phường Thạch Bàn, Quận Long Biên, Hà Nội	Long Biên	Hà Nội
chính chủ cắt lỗ căn 50m2- Chùa Bộc-ĐH Ngân Hàng- Tặng Full đồ mới	114431242			1,26 tỷ		2 phòng			Hợp đồng mua bán	21.0151	105.8329	15, chùa bộc, Phường Nam Đồng, Quận Đống Đa, Hà Nội	Đống Đa	Hà Nội
CHÍNH CHỦ-BÁN CC C1 TRẦN QUANG DIỆU, HOÀNG CẦU, Ở NGAY, OTO ĐỖ CỬA	114435710			600 triệu		2 phòng			Sổ hồng riêng	21.0153	105.8261	Ngõ 19 Trần Quang Diệu, Phường Quang Trung, Quận Đống Đa, Hà Nội	Đống Đa	Hà Nội
Quỹ căn cắt lỗ Studio, 1PN+, 2PN, 3PN chung cư  Vinhomes Ocean Park	114502350			2,75 tỷ		2 phòng			Sổ hồng riêng	21.02097	105.93817	Yên Viên, Thị trấn Trâu Quỳ, Huyện Gia Lâm, Hà Nội	Gia Lâm	Hà Nội
MỞ BÁN CC G3 THÁI HÀ, CHÙA BỘC Ở NGAY, OTO ĐỖ CỬA, 35 - 50M2, ĐỦ ĐỒ	114539540			550 triệu		2 phòng			Sổ hồng riêng	21.0104	105.8223	Phố Thái Hà, Phường Trung Liệt, Quận Đống Đa, Hà Nội	Đống Đa	Hà Nội
NHÀ ĐẸP - KD ĐỈNH - PHÂN LÔ HIẾM - Q.CẦU GIẤY	114545173	56 m²		12,2 tỷ		6 phòng			Đã có sổ	21.0307	105.7852	Phố Duy Tân, Phường Dịch Vọng Hậu, Quận Cầu Giấy, Hà Nội	Cầu Giấy	Hà Nội
Bán gấp căn 2N1VS, 60m2 Full nội thất chỉ 2.57 tỷ tại Vinhomes OCP	114595979			2,57 tỷ		2 phòng			Sổ hồng riêng	21.0209	105.9381	Yên Viên, Thị trấn Trâu Quỳ, Huyện Gia Lâm, Hà Nội	Gia Lâm	Hà Nội
