title	url_id	area	width	price	direction	number_of_bedrooms	number_of_toilets	furniture	legal	lat	lon	address	district	province
Nhà biệt thự, liền kề tại Vinhomes Wonder City	pr42790707	96.0	8.0	18.6	1100	5	5	Đầy đủ	2	21.09654136940791	105.71203898308184	Dự án Vinhomes Wonder City, Xã Tân Hội, Đan Phượng, Hà Nội	Đan Phượng	Hà Nội
Nhà biệt thự, liền kề tại Khu đô thị mới Văn Quán	pr38951780	90.0	5.0	29.3	0	0	0	Đầy đủ	2	20.9739627838135	105.789070129395	Dự án KĐT Văn Quán, Đường Chiến Thắng, Phường Văn Quán, Hà Đông, Hà Nội	Hà Đông	Hà Nội
Nhà riêng tại đường Ngọc Thụy	pr43315161	36.0	0.0	8.9	0	4	3	Đầy đủ	2	21.0497342411327	105.866742207511	Đường Ngọc Thụy, Phường Ngọc Thụy, Long Biên, Hà Nội	Long Biên	Hà Nội
Nhà riêng tại phường Khâm Thiên	pr43315416	34.0	6.0	12.0	0	4	0	Đầy đủ	2	21.0193446073839	105.83923360522	Phường Khâm Thiên, Quận Đống Đa, Hà Nội	Đống Đa	Hà Nội
Nhà riêng tại đường Nghi Tàm	pr43306995	92.0	6.6	22.15	0	0	0		2	21.0573401438587	105.835278430827	Đường Nghi Tàm, Phường Tứ Liên, Tây Hồ, Hà Nội	Tây Hồ	Hà Nội
Nhà riêng tại đường Văn Phú	pr43221682	36.0	4.0	8.9	0	3	4	Đầy đủ	2	20.9618547057486	105.768534108671	Đường Văn Phú, Phường Phú La, Hà Đông, Hà Nội	Hà Đông	Hà Nội
Shophouse, nhà phố thương mại tại Xuân Phương Tasco	pr43177884	90.0	6.0	26.3	0	4	0		2	21.025363986278965	105.7413717612709	Dự án Xuân Phương Tasco, Phường Xuân Phương, Nam Từ Liêm, Hà Nội	Nam Từ Liêm	Hà Nội
Nhà riêng tại đường Lê Duẩn	pr43277865	70.0	7.0	14.9	1	3	3	Đầy đủ	2	21.0197592376189	105.841178289661	16 ngõ 274 Đường Lê Duẩn, Phường Khâm Thiên, Đống Đa, Hà Nội	Đống Đa	Hà Nội
Bán đất tại đường Mỹ Đình	pr42970244	115.0	5.5	15.7	0	0	0		2	21.0273199907568	105.773838469909	đường Mỹ Đình, Phường Mễ Trì, Nam Từ Liêm, Hà Nội	Nam Từ Liêm	Hà Nội
Nhà riêng tại đường Hoàng Quốc Việt	pr43251069	80.0	7.7	22.0	0	0	0		-1	21.0461014334348	105.791716562436	Ngõ 106, Đường Hoàng Quốc Việt, Phường Nghĩa Tân, Cầu Giấy, Hà Nội	Cầu Giấy	Hà Nội
Nhà riêng tại đường Trần Quang Diệu	pr43314935	38.0	3.3	15.0	0	0	0		2	21.0155236407363	105.824367750915	Đường Trần Quang Diệu, Phường Ô Chợ Dừa, Đống Đa, Hà Nội	Đống Đa	Hà Nội
Căn hộ chung cư tại Chung cư The Wisteria	pr43257191	138.0	0.0	7.58	0	3	3		2	21.07555899079853	105.69865702080364	Dự án The Wisteria, Đường 32, Xã Di Trạch, Hoài Đức, Hà Nội	Hoài Đức	Hà Nội
Nhà riêng tại đường Chiến Thắng	pr37593927	110.0	8.0	18.0	0	42	42	Đầy đủ	2	20.9791537	105.7962032	Đường Chiến Thắng, Xã Tân Triều, Thanh Trì, Hà Nội	Thanh Trì	Hà Nội
Bán đất tại đường Vân Nội	pr42765612	104.8	5.2	11.3184	10	0	0		2	21.1554454298252	105.815519934302	Đường Vân Nội, Xã Vân Nội, Đông Anh, Hà Nội	Đông Anh	Hà Nội
Nhà riêng tại đường Thụy Khuê	pr41674523	62.0	6.2	11.7	0	19	19	Đầy đủ	-1	21.045701657841	105.813183691663	Đường Thụy Khuê, Phường Bưởi, Tây Hồ, Hà Nội	Tây Hồ	Hà Nội
Nhà riêng tại đường Thanh Bình	pr43101898	42.0	4.2	8.2	0	5	4	Không nội thất	2	20.9824783306908	105.777965575063	Đường Thanh Bình, Phường Mỗ Lao, Hà Đông, Hà Nội	Hà Đông	Hà Nội
Căn hộ chung cư tại The Golden Palm Lê Văn Lương	pr43240340	134.0	0.0	12.0	110	3	2	Cơ bản	2	21.006311416626	105.807479858398	Dự án The Golden Palm Lê Văn Lương, Đường Lê Văn Lương, Phường Nhân Chính, Thanh Xuân, Hà Nội	Thanh Xuân	Hà Nội
Nhà riêng tại đường Xuân La	pr43249316	60.0	0.0	16.0	0	0	0		-1	21.0641326770252	105.806013058188	Đường Xuân La, Phường Xuân La, Tây Hồ, Hà Nội	Tây Hồ	Hà Nội
Bán đất tại đường Trâu Quỳ	pr43271991	110.0	5.3	16.17	1100	0	0		2	21.0048160842614	105.936413999046	Đường Trâu Quỳ, Thị trấn Trâu Quỳ, Gia Lâm, Hà Nội	Gia Lâm	Hà Nội
Nhà biệt thự, liền kề tại Khu đô thị Nam An Khánh	pr43060214	255.0	0.0	25.5	0	0	0		2	21.00143155347721	105.7068263153423	Dự án Nam An Khánh, Đường Láng Hòa Lạc, Xã An Khánh, Hoài Đức, Hà Nội	Hoài Đức	Hà Nội
Căn hộ chung cư tại D’. Le Roi Soleil	pr42504634	88.0	0.0	11.0	110	2	2		2	21.065251613629	105.826643871199	D’. Le Roi Soleil , 59, Đường Xuân Diệu, Phường Quảng An, Tây Hồ, Hà Nội	Tây Hồ	Hà Nội
Nhà riêng tại đường Phạm Thận Duật	pr43075772	55.0	0.0	14.3	0	4	4	Đầy đủ	2	21.0436718663015	105.77871141179	Đường Phạm Thận Duật, Phường Mai Dịch, Cầu Giấy, Hà Nội	Cầu Giấy	Hà Nội
Nhà riêng tại đường Nguyễn Sơn	pr43252962	40.0	4.5	14.5	0	3	6	Đầy đủ.	2	21.045580798256	105.880933783286	Đường Nguyễn Sơn, Phường Gia Thụy, Long Biên, Hà Nội	Long Biên	Hà Nội
Nhà riêng tại phố Linh Lang	pr43285309	45.0	0.0	19.5	0	0	0		2	21.0344160621219	105.809994247337	Phố Linh Lang, Phường Cống Vị, Ba Đình, Hà Nội	Ba Đình	Hà Nội
Nhà riêng tại đường An Dương Vương	pr43297131	61.0	3.8	8.6	0	4	4	Cơ bản với điều hòa, tủ lạnh, giường...	2	21.0896075934358	105.804372700302	Đường An Dương Vương, Phường Phú Thượng, Tây Hồ, Hà Nội	Tây Hồ	Hà Nội
Nhà mặt phố tại đường Hoàng Hoa Thám	pr43288655	84.0	3.8	25.5	1001	0	0	Cơ bản	2	21.04695557903093	105.81037652758424	Đường Hoàng Hoa Thám, Phường Vĩnh Phúc, Ba Đình, Hà Nội	Ba Đình	Hà Nội
Căn hộ chung cư tại Vinhomes Metropolis - Liễu Giai	pr43275461	80.0	0.0	13.5	1000	2	2	Đầy đủ	2	21.03322054004463	105.81671471639066	Dự án Vinhomes Metropolis - Liễu Giai, Phố Liễu Giai, Phường Ngọc Khánh, Ba Đình, Hà Nội	Ba Đình	Hà Nội
Bán đất tại đường Bắc Hồng	pr43299538	180.0	8.7	8.4	0	0	0		2	21.1770202794509	105.802432506795	Đường Bắc Hồng, Xã Bắc Hồng, Đông Anh, Hà Nội	Đông Anh	Hà Nội
Căn hộ chung cư tại FLC Complex 36 Phạm Hùng	pr39563466	150.0	0.0	9.0	1001	4	3	Đầy đủ	2	21.028190612793	105.779197692871	FLC Complex Phạm Hùng, 36, Đường Phạm Hùng, Phường Mỹ Đình 2, Nam Từ Liêm, Hà Nội	Nam Từ Liêm	Hà Nội
Nhà riêng tại đường Phú Viên	pr43287955	200.0	5.0	17.5	10	3	2	Đầy đủ.	2	21.033560422366	105.86920804284	Đường Phú Viên, Phường Bồ Đề, Long Biên, Hà Nội	Long Biên	Hà Nội
Căn hộ chung cư tại Chung cư The Wisteria	pr43246493	138.0	0.0	7.2	0	3	3		-1	21.0752191082662	105.698053440397	Dự án The Wisteria, Đường 32, Xã Di Trạch, Hoài Đức, Hà Nội	Hoài Đức	Hà Nội
Nhà riêng tại xã Kiêu Kỵ	pr43270109	75.0	5.0	7.0	0	4	3	Cơ bản	2	20.9765287584597	105.953869083375	Xã Kiêu Kỵ, Gia Lâm, Hà Nội	Gia Lâm	Hà Nội
Nhà riêng tại đường Kim Giang	pr43316227	39.0	0.0	8.8	0	6	5	Cơ bản	2	20.9792543964798	105.821133132892	Đường Kim Giang, Phường Đại Kim, Hoàng Mai, Hà Nội	Hoàng Mai	Hà Nội
Căn hộ chung cư tại Mailand Hanoi City	pr41141869	128.0	0.0	7.25	0	3	2		2	21.01512687406793	105.72488613442012	Dự án Mailand Hanoi City, Đường Đại lộ Thăng Long, Xã An Khánh, Hoài Đức, Hà Nội	Hoài Đức	Hà Nội
Nhà biệt thự, liền kề tại Hinode Royal Park	pr43294667	95.0	5.0	15.5	10	0	0		2	21.056658437006	105.716433391376	Hinode Royal Park, Quốc lộ 32, Di Trạch, Hoài Đức, Hà Nội	Hoài Đức	Hà Nội
Nhà riêng tại đường Nguyễn Văn Linh	pr43314659	36.0	5.0	8.5	110	3	4	Đầy đủ full nội thất cao cấp.	2	21.0284256983581	105.919868712436	Ngõ 68, Đường Nguyễn Văn Linh, Phường Thạch Bàn, Long Biên, Hà Nội	Long Biên	Hà Nội
Nhà riêng tại đường Kim Giang	pr43114736	65.0	5.2	22.5	1100	10	12	Đầy đủ	2	20.9791430149986	105.821086589191	282/2, Đường Kim Giang, Phường Đại Kim, Hoàng Mai, Hà Nội	Hoàng Mai	Hà Nội
Nhà riêng tại đường Ngọc Hà	pr43256808	41.0	0.0	8.9	0	0	0	Đầy đủ	2	21.0377635300091	105.830437657667	Đường Ngọc Hà, Phường Ngọc Hà, Ba Đình, Hà Nội	Ba Đình	Hà Nội
Nhà riêng tại phố Phố Vọng	pr43245063	30.0	4.0	8.9	0	2	3	Cơ bản	2	20.9964461424877	105.842841529417	Ngõ 41, Phố Phố Vọng, Phường Đồng Tâm, Hai Bà Trưng, Hà Nội	Hai Bà Trưng	Hà Nội
Nhà riêng tại đường Nguyễn Văn Cừ	pr43224658	50.0	4.0	12.0	0	5	5		-1	21.0438753522705	105.872405871095	Đường Nguyễn Văn Cừ, Phường Ngọc Lâm, Long Biên, Hà Nội	Long Biên	Hà Nội
Nhà riêng tại đường Huỳnh Thúc Kháng	pr43172482	70.0	5.5	28.0	0	5	5	Cơ bản	2	21.0172615091017	105.810012817383	Ngõ 49, Đường Huỳnh Thúc Kháng, Phường Láng Thượng, Đống Đa, Hà Nội	Đống Đa	Hà Nội
