title	url_id	area	width	price	direction	number_of_bedrooms	number_of_toilets	furniture	legal	lat	lon	address	district	province
Nhà riêng tại đường Triều Khúc	pr42496920	50.0	3.5	14.0	0000	5	6		2	20.9799524733521	105.80249454218	Đường Triều Khúc, Xã Tân Triều, Thanh Trì, Hà Nội	Thanh Trì	Hà Nội
Nhà riêng tại đường Cầu Giấy	pr42606438	80.0	0.0	17.0	0000	22	0		-1	21.0317652771964	105.799345047356	Đường Cầu Giấy, Phường Quan Hoa, Cầu Giấy, Hà Nội	Cầu Giấy	Hà Nội
Bán đất tại đường Liên Hà	pr42577991	111.0	6.0	9.435	0000	0	0		2	21.152795629822	105.899730481411	Đường Liên Hà, Xã Liên Hà, Đông Anh, Hà Nội	Đông Anh	Hà Nội
Nhà riêng tại đường Hoàng Mai	pr42573460	54.0	6.3	14.9	0000	14	14	Đầy đủ.	2	20.9886633973535	105.856449237458	Gốc Đề, Đường Hoàng Mai, Phường Hoàng Văn Thụ, Hoàng Mai, Hà Nội	Hoàng Mai	Hà Nội
Nhà riêng tại đường Trần Khát Chân	pr42473360	65.0	0.0	12.9	0000	5	0		-1	21.0093139417974	105.860150229624	Đường Trần Khát Chân, Phường Bạch Mai, Hai Bà Trưng, Hà Nội	Hai Bà Trưng	Hà Nội
Bán đất tại đường Ngô Xuân Quảng	pr42593679	65.0	4.2	13.8	0000	0	0		2	21.0156653583703	105.936547240226	Đường Ngô Xuân Quảng, Thị trấn Trâu Quỳ, Gia Lâm, Hà Nội	Gia Lâm	Hà Nội
Nhà riêng tại đường Hoàng Như Tiếp	pr42405284	50.0	6.0	9.1	0000	4	4	Đầy đủ.	2	21.0408433436199	105.877769329987	Đường Hoàng Như Tiếp, Phường Bồ Đề, Long Biên, Hà Nội	Long Biên	Hà Nội
Nhà riêng tại đường Dương Văn Bé	pr42573150	119.0	7.0	12.6	0000	0	0		2	20.995676432999	105.873807445774	Đường Dương Văn Bé, Phường Vĩnh Tuy, Hai Bà Trưng, Hà Nội	Hai Bà Trưng	Hà Nội
Nhà riêng tại đường Phúc Lợi	pr41789866	117.0	10.0	19.0	0000	6	5	Đầy đủ	-1	21.0388072186291	105.934620217152	Đường Phúc Lợi, Phường Phúc Lợi, Long Biên, Hà Nội	Long Biên	Hà Nội
Nhà biệt thự, liền kề tại Khu đô thị Thanh Hà Mường Thanh	pr32621783	300.0	0.0	27.0	0110	0	0		1	20.93883943888405	105.78754040070528	Dự án Thanh Hà Mường Thanh, Phường Kiến Hưng, Hà Đông, Hà Nội	Hà Đông	Hà Nội
