title	url_id	area	price	number_of_bedrooms	number_of_toilets	legal	lat	lon	district	province	property_type	property_type_id	district_id
Nhà riêng tại phố Tôn Đức Thắng	pr42485495	34.0	9.86	4	5	-1	21.0230980969473	105.832783611805	Đống Đa	Hà Nội	Nhà riêng	3	7
Nhà riêng tại phường Giang Biên	pr43263736	45.0	8.55	4	5	2	21.0677889965186	105.914227075624	Long Biên	Hà Nội	Nhà riêng	3	14
Nhà riêng tại đường Đại Từ	pr43267888	34.0	7.3	3	3	2	20.9711779020666	105.835335842322	Hoàng Mai	Hà Nội	Nhà riêng	3	13
Nhà riêng tại phố Xã Đàn	pr43124444	59.0	17.85	6	4	2	21.0167234797761	105.83187981301	Đống Đa	Hà Nội	Nhà riêng	3	7
Nhà riêng tại đường Xuân Đỉnh	pr43310184	140.0	24.5	1	1	2	21.0714993255438	105.794351878272	Bắc Từ Liêm	Hà Nội	Nhà riêng	3	28
Căn hộ chung cư tại The Zei Mỹ Đình	pr43251922	84.0	8.4	2	2	2	21.0338877244358	105.76899497997	Nam Từ Liêm	Hà Nội	Chung cư	1	28
Nhà riêng tại đường Lạc Long Quân	pr43023831	55.0	21.5	6	6	2	21.0538001321943	105.808604021955	Cầu Giấy	Hà Nội	Nhà riêng	3	3
Nhà biệt thự, liền kề tại Eurowindow Twin Parks	pr42853888	85.0	18.9	5	5	2	21.0077746673664	105.93800484205	Gia Lâm	Hà Nội	Biệt thự	2	8
Nhà riêng tại đường Dương Văn Bé	pr43309581	65.0	12.5	4	4	2	20.9962227377968	105.874293635945	Hai Bà Trưng	Hà Nội	Nhà riêng	3	10
Nhà riêng tại đường Bồ Đề	pr42825414	46.2	12.0	3	4	-1	21.0380255456156	105.872040078445	Long Biên	Hà Nội	Nhà riêng	3	14
Căn hộ chung cư tại The Artemis	pr43269544	86.0	7.0	2	2	2	21.00006709870525	105.82814071841176	Thanh Xuân	Hà Nội	Chung cư	1	26
Căn hộ chung cư tại Roman Plaza	pr43304606	105.0	7.0	3	2	2	20.983911572981697	105.77614139322527	Nam Từ Liêm	Hà Nội	Chung cư	1	28
Căn hộ chung cư tại N03-T5 Ngoại Giao Đoàn	pr42923556	102.0	8.16	3	2	2	21.06428077790382	105.79927981107666	Bắc Từ Liêm	Hà Nội	Chung cư	1	28
Căn hộ chung cư tại CT3 Tây Nam Linh Đàm	pr43242693	140.0	9.8	4	2	-1	20.96503645391848	105.82443802982628	Hoàng Mai	Hà Nội	Chung cư	1	13
Nhà riêng tại đường Lạc Long Quân	pr43258058	50.0	13.6	6	6	2	21.0609922064641	105.809146905244	Tây Hồ	Hà Nội	Nhà riêng	3	22
Căn hộ chung cư tại Park Hill Premium - Times City	pr42249064	101.0	9.3	3	2	2	20.9962523593932	105.865130944407	Hai Bà Trưng	Hà Nội	Chung cư	1	10
Căn hộ chung cư tại Goldmark City	pr43078983	139.0	7.5	3	2	2	21.044868414052925	105.76710239723263	Bắc Từ Liêm	Hà Nội	Chung cư	1	28
Nhà riêng tại phường Vạn Phúc	pr43124404	50.0	15.0	5	4	2	20.9803357530595	105.771492126379	Hà Đông	Hà Nội	Nhà riêng	3	9
Căn hộ chung cư tại Goldmark City	pr43304761	121.0	8.85	3	3	2	21.044231428678103	105.76716895072198	Bắc Từ Liêm	Hà Nội	Chung cư	1	28
Nhà mặt phố tại đường Ngô Gia Tự	pr43228208	68.7	19.9	1	1	2	21.0657112990279	105.898025584027	Long Biên	Hà Nội	Nhà riêng	3	14
Nhà biệt thự, liền kề tại Khu đô thị Geleximco - Lê Trọng Tấn	pr43291307	102.0	20.5	5	3	2	20.97995358939	105.741663924609	Hà Đông	Hà Nội	Biệt thự	2	9
Nhà riêng tại đường Huỳnh Thúc Kháng	pr43084378	60.0	20.3	7	7	2	21.0182084195799	105.811574715459	Đống Đa	Hà Nội	Nhà riêng	3	7
Nhà riêng tại đường Hoa Lâm	pr43278495	95.0	16.2	3	3	2	21.0567104010799	105.895903460313	Long Biên	Hà Nội	Nhà riêng	3	14
Căn hộ chung cư tại Viha Complex	pr41388383	96.7	8.7	3	3	2	20.9979881495547	105.803574289636	Thanh Xuân	Hà Nội	Chung cư	1	26
Căn hộ chung cư tại Keangnam Hanoi Landmark Tower	pr41238554	118.0	10.5	3	2	2	21.0168495178223	105.783973693848	Nam Từ Liêm	Hà Nội	Chung cư	1	28
Căn hộ chung cư tại Thăng Long Number One	pr42400727	91.0	7.0	2	2	2	21.002933243660625	105.79253407438613	Cầu Giấy	Hà Nội	Chung cư	1	3
Nhà riêng tại đường 422	pr42964269	61.0	9.5	4	4	2	21.0470526580686	105.69897801415	Hoài Đức	Hà Nội	Nhà riêng	3	11
Căn hộ chung cư tại Vinhomes D'Capitale	pr41478714	73.0	8.0	2	2	2	21.005334312746136	105.79446989299107	Cầu Giấy	Hà Nội	Chung cư	1	3
Nhà riêng tại phố Kim Mã	pr43005238	105.0	17.0	6	6	2	21.0317952318096	105.825545685971	Ba Đình	Hà Nội	Nhà riêng	3	1
Căn hộ chung cư tại Khu đô thị mới Dịch Vọng	pr42266985	102.0	7.35	3	2	2	21.02993235769713	105.7936996079908	Cầu Giấy	Hà Nội	Chung cư	1	3
Nhà mặt phố tại đường Tô Hiệu	pr43298076	58.0	25.0	3	3	2	20.9661473977023	105.777286737915	Hà Đông	Hà Nội	Nhà riêng	3	9
Căn hộ chung cư tại Sunshine Center	pr39479849	104.0	7.2	3	2	1	21.018648147583	105.781791687012	Nam Từ Liêm	Hà Nội	Chung cư	1	28
Căn hộ chung cư tại Gold Tower	pr40889377	141.0	10.0	3	2	2	20.993824	105.80698	Thanh Xuân	Hà Nội	Chung cư	1	26
Nhà biệt thự, liền kề tại An Lạc - Phùng Khoang	pr43301639	80.0	22.8	5	5	2	20.986537152017128	105.7886216074968	Nam Từ Liêm	Hà Nội	Biệt thự	2	28
Nhà riêng tại phường Đức Giang	pr43300973	42.0	8.0	4	4	2	21.0646766136468	105.895443235096	Long Biên	Hà Nội	Nhà riêng	3	14
Căn hộ chung cư tại Tây Hà Tower	pr41586705	130.0	7.5	3	2	2	20.996280670166	105.793251037598	Nam Từ Liêm	Hà Nội	Chung cư	1	28
Nhà riêng tại đường An Dương Vương	pr43112472	81.0	13.3	4	4	2	21.0900102718153	105.804420037726	Tây Hồ	Hà Nội	Nhà riêng	3	22
Căn hộ chung cư tại Eurowindow Multi Complex	pr43090375	93.5	8.3	3	2	2	21.01109074494253	105.799903985368	Cầu Giấy	Hà Nội	Chung cư	1	3
Nhà riêng tại đường Cầu Giấy	pr43244361	62.0	15.9	8	6	2	21.0316163913759	105.799391756179	Cầu Giấy	Hà Nội	Nhà riêng	3	3
Căn hộ chung cư tại Sunshine City	pr43246773	96.8	8.8	3	2	2	21.0850403842644	105.792260903334	Bắc Từ Liêm	Hà Nội	Chung cư	1	28
Căn hộ chung cư tại Viha Complex	pr43044148	72.11	7.57155	2	2	1	20.997587	105.80383	Thanh Xuân	Hà Nội	Chung cư	1	26
Căn hộ chung cư tại Kosmo Tây Hồ	pr43292990	81.2	7.5516	2	2	2	21.06854664166456	105.80355500043166	Bắc Từ Liêm	Hà Nội	Chung cư	1	28
Căn hộ chung cư tại Thăng Long Number One	pr42407280	110.0	7.3	3	2	2	21.00252450751336	105.79214973158628	Cầu Giấy	Hà Nội	Chung cư	1	3
Căn hộ chung cư tại Golden Palace	pr43301275	142.0	11.076	4	3	2	21.01157842421415	105.77564270997124	Nam Từ Liêm	Hà Nội	Chung cư	1	28
Nhà riêng tại phường Bồ Đề	pr43241120	85.0	16.9	5	4	2	21.0381927589352	105.872873152677	Long Biên	Hà Nội	Nhà riêng	3	14
Căn hộ chung cư tại Royal City	pr42597705	130.0	10.5	3	2	2	21.002817649409923	105.81503916984356	Thanh Xuân	Hà Nội	Chung cư	1	26
Căn hộ chung cư tại Sun Square	pr43201570	108.6	7.3	3	2	2	21.03391991207048	105.76974741410103	Nam Từ Liêm	Hà Nội	Chung cư	1	28
Nhà riêng tại đường Nguyên Hồng	pr42892177	76.0	24.5	6	6	2	21.015575100889	105.809958104168	Đống Đa	Hà Nội	Nhà riêng	3	7
Nhà riêng tại phố Chùa Bộc	pr42334434	48.0	8.3	4	3	2	21.0084805687231	105.825971220938	Đống Đa	Hà Nội	Nhà riêng	3	7
Căn hộ chung cư tại Vinhomes Times City - Park Hill	pr43315635	95.0	8.5	3	2	2	20.991404108931665	105.86891514170787	Hoàng Mai	Hà Nội	Chung cư	1	13
Nhà riêng tại đường Định Công	pr43138867	30.0	8.4	3	5	2	20.9829952994976	105.834957537033	Hoàng Mai	Hà Nội	Nhà riêng	3	13
Căn hộ chung cư tại Vimeco II - Nguyễn Chánh	pr43093397	130.0	10.4	3	2	2	21.009527173908584	105.7934605313302	Cầu Giấy	Hà Nội	Chung cư	1	3
Nhà riêng tại đường Ngọc Thụy	pr43242796	52.0	13.8	4	5	2	21.0498085564453	105.867115512088	Long Biên	Hà Nội	Nhà riêng	3	14
Nhà riêng tại phố Phú Lương	pr43289850	68.0	11.0	2	2	2	20.9403812778757	105.764578551683	Hà Đông	Hà Nội	Nhà riêng	3	9
Nhà riêng tại phố Khúc Thừa Dụ	pr43260076	56.0	10.5	6	4	2	21.0332397178582	105.79194890245	Cầu Giấy	Hà Nội	Nhà riêng	3	3
Nhà riêng tại phường Việt Hưng	pr43169580	63.0	15.7	1	1	2	21.0559441042603	105.901969439961	Long Biên	Hà Nội	Nhà riêng	3	14
Nhà riêng tại đường Tư Đình	pr43288597	56.0	16.0	4	3	2	21.028889529629	105.883961820017	Long Biên	Hà Nội	Nhà riêng	3	14
Căn hộ chung cư tại The Zei Mỹ Đình	pr41948920	90.0	7.5	2	2	2	21.03391932169432	105.769189461863	Nam Từ Liêm	Hà Nội	Chung cư	1	28
Căn hộ chung cư tại The Diamond Residence	pr43296435	120.0	12.5	3	2	2	21.005084338807084	105.80490658987664	Thanh Xuân	Hà Nội	Chung cư	1	26
Nhà biệt thự, liền kề tại Khu đô thị mới Văn Phú	pr43294167	80.0	17.9	5	5	2	20.95798300837708	105.76705082065698	Hà Đông	Hà Nội	Biệt thự	2	9
Nhà riêng tại đường Nguyễn Chí Thanh	pr43138540	65.0	18.8	7	7	2	21.020285501768	105.808308060434	Đống Đa	Hà Nội	Nhà riêng	3	7
Nhà biệt thự, liền kề tại Làng Việt Kiều Châu Âu Euroland	pr41268108	92.0	17.0	4	4	2	20.9828604001662	105.786184725979	Hà Đông	Hà Nội	Biệt thự	2	9
Nhà riêng tại đường Thanh Bình	pr40541473	51.0	7.85	4	3	2	20.9824766	105.7780675	Hà Đông	Hà Nội	Nhà riêng	3	9
Căn hộ chung cư tại Trung Yên Plaza	pr43215214	112.0	8.68	3	2	2	21.013574348894466	105.80249827355146	Cầu Giấy	Hà Nội	Chung cư	1	3
Căn hộ chung cư tại Phú Gia Residence	pr43222617	99.0	7.0	2	2	2	20.99951086727429	105.8068180129504	Thanh Xuân	Hà Nội	Chung cư	1	26
Căn hộ chung cư tại Khu đô thị Trung Hòa - Nhân Chính	pr43289612	131.0	8.5	3	2	2	21.0080679354436	105.803722683872	Cầu Giấy	Hà Nội	Chung cư	1	3
Nhà riêng tại đường Võ Chí Công	pr43069385	52.26	10.4	6	4	2	21.0500662637384	105.804334025145	Cầu Giấy	Hà Nội	Nhà riêng	3	3
Nhà riêng tại đường Cầu Giấy	pr43312454	50.0	11.5	6	4	2	21.032086234813	105.799747235221	Cầu Giấy	Hà Nội	Nhà riêng	3	3
Căn hộ chung cư tại The Zei Mỹ Đình	pr42318808	108.0	8.0	3	2	2	21.0341803378729	105.769693897031	Nam Từ Liêm	Hà Nội	Chung cư	1	28
Nhà riêng tại đường Phạm Ngọc Thạch	pr42878425	38.0	12.2	3	5	2	21.0088443124492	105.834493879608	Đống Đa	Hà Nội	Nhà riêng	3	7
Căn hộ chung cư tại Sông Hồng Park View	pr43259987	92.6	8.0	3	2	2	21.015004712661	105.81741182267	Đống Đa	Hà Nội	Chung cư	1	7
Nhà riêng tại đường Lĩnh Nam	pr43025372	40.0	7.35	5	4	2	20.9823550121371	105.879728044073	Hoàng Mai	Hà Nội	Nhà riêng	3	13
Nhà riêng tại đường Nguyễn Văn Huyên	pr43053608	45.0	9.9	7	4	2	21.0401282477945	105.797156374032	Cầu Giấy	Hà Nội	Nhà riêng	3	3
Nhà riêng tại đường Hà Trì	pr43200624	41.0	7.0	3	4	2	20.9638945077042	105.783739510962	Hà Đông	Hà Nội	Nhà riêng	3	9
Nhà riêng tại phường Long Biên	pr43291791	50.0	12.8	4	5	2	21.023943312966	105.891378567559	Long Biên	Hà Nội	Nhà riêng	3	14
Nhà riêng tại đường Yên Bình	pr43167149	30.0	7.0	4	4	2	20.9713831326204	105.788182545724	Hà Đông	Hà Nội	Nhà riêng	3	9
Nhà riêng tại đường Lạc Long Quân	pr43290686	55.0	25.0	6	6	2	21.074214556958	105.813237604212	Tây Hồ	Hà Nội	Nhà riêng	3	22
Nhà riêng tại đường 19/5	pr42997895	51.0	12.8	4	2	2	20.9756521364755	105.789608253218	Hà Đông	Hà Nội	Nhà riêng	3	9
Nhà riêng tại đường Nguyễn Văn Cừ	pr43239452	40.0	14.8	4	6	2	21.043717712685	105.872281535297	Long Biên	Hà Nội	Nhà riêng	3	14
Nhà riêng tại đường Lê Đức Thọ	pr43302159	40.0	9.5	4	4	2	21.0237079172776	105.767185535935	Nam Từ Liêm	Hà Nội	Nhà riêng	3	28
Nhà riêng tại phố Thái Hà	pr43226594	50.0	20.8	4	4	2	21.0139208183734	105.826552395313	Đống Đa	Hà Nội	Nhà riêng	3	7
Nhà riêng tại phố Chùa Hà	pr43262312	45.0	18.5	3	5	2	21.0363047421875	105.79499325973	Cầu Giấy	Hà Nội	Nhà riêng	3	3
Nhà biệt thự, liền kề tại Mailand Hanoi City	pr43218570	102.0	22.0	4	4	2	21.01511146954242	105.72540189130628	Hoài Đức	Hà Nội	Biệt thự	2	11
Nhà riêng tại phố Trung Kính	pr43260015	53.0	19.0	3	4	2	21.0187470366997	105.792553307865	Cầu Giấy	Hà Nội	Nhà riêng	3	3
Nhà riêng tại phố Doãn Kế Thiện	pr43294932	60.0	24.5	4	4	2	21.0412964369474	105.779163907461	Cầu Giấy	Hà Nội	Nhà riêng	3	3
Nhà riêng tại đường Nguyễn Ngọc Nại	pr41852288	63.0	12.9	4	3	2	20.9985732677026	105.825657755017	Thanh Xuân	Hà Nội	Nhà riêng	3	26
Nhà mặt phố tại đường Xuân Đỉnh	pr43234673	61.0	15.5	6	5	2	21.0714051192575	105.793922815054	Bắc Từ Liêm	Hà Nội	Nhà riêng	3	28
Nhà riêng tại đường Ngọc Thụy	pr42927319	32.0	7.4	4	4	2	21.0499010648128	105.866841826801	Long Biên	Hà Nội	Nhà riêng	3	14
Căn hộ chung cư tại Khu đô thị Nam Thăng Long - Ciputra	pr43170473	123.0	8.7	3	2	2	21.07369073332315	105.82370897312856	Tây Hồ	Hà Nội	Chung cư	1	22
Nhà riêng tại đường Duy Tân	pr43284496	55.0	26.0	6	4	2	21.03089173318	105.783810081284	Cầu Giấy	Hà Nội	Nhà riêng	3	3
Nhà biệt thự, liền kề tại Khu chức năng đô thị Ao Sào	pr43017142	75.0	19.95	5	4	2	20.97558034007084	105.85230548890084	Hoàng Mai	Hà Nội	Biệt thự	2	13
Nhà riêng tại phố Cầu Cốc	pr43278448	65.0	9.1	4	3	2	20.9998590157726	105.741934849272	Nam Từ Liêm	Hà Nội	Nhà riêng	3	28
Nhà mặt phố tại đường Trần Duy Hưng	pr43253276	46.0	17.9	6	5	2	21.0108808904567	105.799955583338	Cầu Giấy	Hà Nội	Nhà riêng	3	3
Nhà biệt thự, liền kề tại Khu đô thị mới Văn Quán	pr43050157	75.0	17.7	5	5	2	20.974045779414578	105.78920587108344	Hà Đông	Hà Nội	Biệt thự	2	9
Nhà riêng tại đường Tô Vĩnh Diện	pr42953105	63.0	13.6	6	4	2	20.999675148826	105.820897014417	Thanh Xuân	Hà Nội	Nhà riêng	3	26
Nhà riêng tại đường Nguyễn Lam	pr43235629	45.0	13.8	5	7	2	21.0396703138234	105.905641330295	Long Biên	Hà Nội	Nhà riêng	3	14
Nhà riêng tại đường Đàm Quang Trung	pr43245892	42.0	8.18	4	3	2	21.0320067343471	105.900620357697	Long Biên	Hà Nội	Nhà riêng	3	14
Căn hộ chung cư tại Ha Do Park View	pr41515499	144.0	8.9	3	3	2	21.0274105072021	105.793510437012	Cầu Giấy	Hà Nội	Chung cư	1	3
Nhà riêng tại đường Kim Quan	pr43233600	60.0	7.35	2	2	2	21.0575652539555	105.902777951668	Long Biên	Hà Nội	Nhà riêng	3	14
Nhà riêng tại đường Tô Vĩnh Diện	pr43287835	43.0	12.5	4	4	2	20.9997338402239	105.820828698026	Thanh Xuân	Hà Nội	Nhà riêng	3	26
Nhà riêng tại phố Phùng Chí Kiên	pr42374282	59.4	19.5	4	4	2	21.0433780108282	105.802795350042	Cầu Giấy	Hà Nội	Nhà riêng	3	3
Nhà riêng tại đường Nguyễn Thời Trung	pr43300379	63.0	18.4	5	7	2	21.0282390767954	105.918161726606	Long Biên	Hà Nội	Nhà riêng	3	14
Nhà riêng tại đường Bế Văn Đàn	pr43228884	54.0	13.0	6	6	2	20.9698675384389	105.773870539443	Hà Đông	Hà Nội	Nhà riêng	3	9
Nhà riêng tại đường Lạc Long Quân	pr41764686	80.0	19.0	6	5	2	21.0741129706872	105.813455578956	Tây Hồ	Hà Nội	Nhà riêng	3	22
Nhà riêng tại đường Lạc Long Quân	pr43103655	52.0	23.0	6	7	2	21.0540001539422	105.808760572463	Cầu Giấy	Hà Nội	Nhà riêng	3	3
Nhà riêng tại đường An Thọ 1	pr42859907	45.0	7.15	6	4	2	21.0083113841156	105.722015632121	Hoài Đức	Hà Nội	Nhà riêng	3	11
Nhà riêng tại phường Đội Cấn	pr43313183	46.0	9.3	6	4	2	21.0344373663053	105.826200871073	Ba Đình	Hà Nội	Nhà riêng	3	1
Căn hộ chung cư tại An Bình City	pr43258270	83.0	7.5	3	2	2	21.049505644493	105.778556790782	Bắc Từ Liêm	Hà Nội	Chung cư	1	28
Nhà riêng tại đường Tu Hoàng	pr43308428	80.0	16.0	8	6	2	21.0534051430867	105.731336386171	Nam Từ Liêm	Hà Nội	Nhà riêng	3	28
Nhà riêng tại đường Nguyễn Chí Thanh	pr42813660	45.0	15.8	8	5	2	21.0205149269563	105.808450892803	Đống Đa	Hà Nội	Nhà riêng	3	7
Căn hộ chung cư tại Chung cư Han Jardin	pr43182889	107.0	12.0	3	2	1	21.06372147589469	105.796719325624	Bắc Từ Liêm	Hà Nội	Chung cư	1	28
Nhà riêng tại đường Trần Khát Chân	pr42995627	64.0	8.9	3	3	2	21.009149870022	105.856648357323	Hai Bà Trưng	Hà Nội	Nhà riêng	3	10
Nhà riêng tại đường Lạc Long Quân	pr43284640	52.0	10.6	4	4	2	21.0536999036411	105.809245927254	Cầu Giấy	Hà Nội	Nhà riêng	3	3
Nhà riêng tại đường Nguyễn Văn Huyên	pr43298614	40.0	15.7	4	3	2	21.0378596979042	105.797236562139	Cầu Giấy	Hà Nội	Nhà riêng	3	3
Căn hộ chung cư tại Toà nhà cao cấp Westa	pr43044417	143.0	7.5	3	3	0	20.97845288064792	105.7848536735256	Hà Đông	Hà Nội	Chung cư	1	9
Nhà riêng tại đường Văn Quán	pr43244445	65.0	12.0	4	4	2	20.9774806148524	105.794170755168	Hà Đông	Hà Nội	Nhà riêng	3	9
Nhà riêng tại phường Mỗ Lao	pr43288690	42.0	11.9	6	5	2	20.984594740011	105.784652967195	Hà Đông	Hà Nội	Nhà riêng	3	9
Nhà riêng tại đường Lạc Long Quân	pr42928889	50.0	13.9	6	7	2	21.0609342236377	105.809037942555	Tây Hồ	Hà Nội	Nhà riêng	3	22
Nhà mặt phố tại đường 19/5	pr43243750	70.0	20.0	5	3	2	20.9762141899286	105.789485405569	Hà Đông	Hà Nội	Nhà riêng	3	9
Nhà riêng tại phường Thạch Bàn	pr43287184	38.0	7.6	3	4	-1	21.0208865866928	105.917435104347	Long Biên	Hà Nội	Nhà riêng	3	14
Nhà riêng tại phố Vạn Phúc	pr43024178	42.0	10.2	4	5	2	21.0333966529108	105.818256190338	Ba Đình	Hà Nội	Nhà riêng	3	1
Nhà mặt phố tại phố Đại La	pr43304218	30.0	16.0	4	3	2	20.9955175581442	105.847987385568	Hai Bà Trưng	Hà Nội	Nhà riêng	3	10
Nhà riêng tại đường Giáp Nhất	pr39359720	75.0	14.0	6	6	2	21.0070593	105.8150776	Thanh Xuân	Hà Nội	Nhà riêng	3	26
Nhà mặt phố tại đường Cầu Giấy	pr43252891	65.0	26.0	4	4	2	21.0315515849784	105.799665373695	Cầu Giấy	Hà Nội	Nhà riêng	3	3
Nhà riêng tại đường Trường Lâm	pr43280123	40.0	8.9	4	5	2	21.0617156782656	105.898386575282	Long Biên	Hà Nội	Nhà riêng	3	14
Nhà riêng tại phố Quan Nhân	pr43280153	58.0	11.2	4	3	2	21.0037566056238	105.811242587418	Thanh Xuân	Hà Nội	Nhà riêng	3	26
Nhà riêng tại đường Xuân La	pr43088244	28.0	9.0	4	4	2	21.0644460194263	105.805839676923	Tây Hồ	Hà Nội	Nhà riêng	3	22
Nhà riêng tại đường Xuân Đỉnh	pr43304677	44.0	10.8	6	7	2	21.0713838599866	105.795367681211	Bắc Từ Liêm	Hà Nội	Nhà riêng	3	28
Nhà riêng tại phường Đại Mỗ	pr42867321	46.0	8.6	4	4	2	20.9937583222223	105.761139105253	Nam Từ Liêm	Hà Nội	Nhà riêng	3	28
Nhà riêng tại đường Vũ Văn Cẩn	pr43233883	60.0	15.0	4	4	2	20.9825203970087	105.773174503329	Hà Đông	Hà Nội	Nhà riêng	3	9
Nhà riêng tại đường Huỳnh Thúc Kháng	pr43195512	65.0	21.5	5	5	2	21.0187242982369	105.81140733562	Đống Đa	Hà Nội	Nhà riêng	3	7
Căn hộ chung cư tại The Matrix One	pr43231235	85.2	10.1	2	2	2	21.00949350158672	105.77301945155224	Nam Từ Liêm	Hà Nội	Chung cư	1	28
Căn hộ chung cư tại Mỹ Đình Plaza	pr42481707	108.0	7.3	3	2	2	21.030282026335115	105.77609821672804	Nam Từ Liêm	Hà Nội	Chung cư	1	28
Nhà riêng tại đường Hoàng Văn Thái	pr43284867	55.0	13.9	6	6	2	20.9969951484548	105.8245505479	Thanh Xuân	Hà Nội	Nhà riêng	3	26
Nhà riêng tại phố Vũ Tông Phan	pr43286768	65.0	11.2	4	3	2	20.9978733225362	105.816738820044	Thanh Xuân	Hà Nội	Nhà riêng	3	26
Nhà riêng tại đường Ngô Gia Tự	pr42680518	50.0	11.0	1	1	2	21.0576932121062	105.89085423972	Long Biên	Hà Nội	Nhà riêng	3	14
Nhà biệt thự, liền kề tại đường Văn Phú	pr43308644	50.0	15.5	4	5	2	20.9619798028681	105.768473737779	Hà Đông	Hà Nội	Biệt thự	2	9
Căn hộ chung cư tại Seasons Avenue	pr43306753	110.0	7.0	3	2	2	20.986878816411544	105.78673192534455	Hà Đông	Hà Nội	Chung cư	1	9
Nhà mặt phố tại đường Nguyễn Công Hoan	pr43271251	100.0	25.0	6	5	2	21.0271377539545	105.815049636472	Ba Đình	Hà Nội	Nhà riêng	3	1
Nhà riêng tại đường Vũ Trọng Khánh	pr43212034	36.0	8.85	5	6	2	20.9830152157573	105.782470906849	Hà Đông	Hà Nội	Nhà riêng	3	9
Nhà riêng tại phường Kiến Hưng	pr43263077	50.0	15.5	7	7	2	20.9552850743908	105.789875189096	Hà Đông	Hà Nội	Nhà riêng	3	9
Nhà riêng tại đường Lâm Du	pr43241845	47.0	10.5	4	3	2	21.0355199050246	105.87273214517	Long Biên	Hà Nội	Nhà riêng	3	14
Nhà riêng tại đường Thạch Bàn	pr43168287	51.8	8.6	4	3	2	21.0250937751651	105.907938801498	Long Biên	Hà Nội	Nhà riêng	3	14
Căn hộ chung cư tại Chung cư 60 Hoàng Quốc Việt	pr43252392	117.7	9.3	3	2	2	21.0463491824707	105.799030928107	Cầu Giấy	Hà Nội	Chung cư	1	3
Nhà riêng tại đường Văn Phúc	pr42886163	36.0	10.35	3	4	2	20.9783720519902	105.773809761866	Hà Đông	Hà Nội	Nhà riêng	3	9
Nhà riêng tại đường Tô Hiệu	pr43292051	40.0	8.15	4	3	2	20.9665124895375	105.777037220291	Hà Đông	Hà Nội	Nhà riêng	3	9
Nhà riêng tại đường Thịnh Quang	pr43127239	90.0	10.5	4	3	2	21.0082867889189	105.818179280079	Đống Đa	Hà Nội	Nhà riêng	3	7
Căn hộ chung cư tại Vimeco II - Nguyễn Chánh	pr40655091	143.0	8.0	3	2	2	21.009794178297227	105.79360134907375	Cầu Giấy	Hà Nội	Chung cư	1	3
Nhà riêng tại đường Lê Hồng Phong	pr42265560	45.0	9.6	4	4	2	20.9669967581374	105.775989432145	Hà Đông	Hà Nội	Nhà riêng	3	9
Nhà riêng tại đường Đức Giang	pr43265022	100.0	13.5	3	2	2	21.0664412106377	105.891802554506	Long Biên	Hà Nội	Nhà riêng	3	14
Nhà riêng tại phố Vũ Tông Phan	pr43278541	71.0	14.4	4	3	2	20.9980487956354	105.817214674215	Thanh Xuân	Hà Nội	Nhà riêng	3	26
Căn hộ chung cư tại Khu đô thị Mỹ Đình Sông Đà - Sudico	pr43281567	143.0	8.68	4	3	2	21.01765446762408	105.78044718816864	Nam Từ Liêm	Hà Nội	Chung cư	1	28
Nhà riêng tại đường Bưởi	pr43272953	42.0	24.5	8	8	2	21.0390352124564	105.803850008488	Ba Đình	Hà Nội	Nhà riêng	3	1
Nhà riêng tại đường Nguyễn Chí Thanh	pr42461687	65.0	21.4	5	6	2	21.0210051486475	105.808740573083	Đống Đa	Hà Nội	Nhà riêng	3	7
Nhà riêng tại phố Thái Thịnh	pr43146851	48.0	8.75	4	4	2	21.007485431086	105.820798315108	Đống Đa	Hà Nội	Nhà riêng	3	7
Nhà riêng tại đường Cổ Linh	pr42433642	40.0	11.8	3	5	2	21.0280456200613	105.893023532262	Long Biên	Hà Nội	Nhà riêng	3	14
Nhà riêng tại đường Đội Cấn	pr43126635	46.3	10.8	3	5	2	21.0378709354178	105.81110616951	Ba Đình	Hà Nội	Nhà riêng	3	1
Nhà riêng tại đường Cát Linh	pr43152743	40.0	14.6	4	5	2	21.0289885616288	105.831129989995	Đống Đa	Hà Nội	Nhà riêng	3	7
Căn hộ chung cư tại N01-T1 Ngoại Giao Đoàn	pr43302850	132.0	14.8	3	3	2	21.06562191286587	105.79827727812004	Bắc Từ Liêm	Hà Nội	Chung cư	1	28
Nhà biệt thự, liền kề tại đường Mỹ Đình	pr43282480	80.0	19.0	4	4	2	21.0236521961912	105.774296171636	Nam Từ Liêm	Hà Nội	Biệt thự	2	28
Căn hộ chung cư tại The Diamond Residence	pr42111954	145.0	15.0	3	2	2	21.00506974851116	105.80513613499576	Thanh Xuân	Hà Nội	Chung cư	1	26
Nhà riêng tại đường Tư Đình	pr42880286	72.0	19.5	4	5	2	21.0289724945168	105.884425599205	Long Biên	Hà Nội	Nhà riêng	3	14
Nhà riêng tại đường Thụy Khuê	pr42807310	66.0	14.3	4	4	2	21.0423799007136	105.824139777972	Tây Hồ	Hà Nội	Nhà riêng	3	22
Nhà riêng tại đường Kim Ngưu	pr41979434	50.0	13.8	4	3	2	21.0050829039622	105.86130820706	Hai Bà Trưng	Hà Nội	Nhà riêng	3	10
Nhà biệt thự, liền kề tại Khu đô thị Văn Khê	pr43239089	83.0	25.0	4	3	-1	20.973194624497864	105.7611252396078	Hà Đông	Hà Nội	Biệt thự	2	9
